项目,轮次,时间,运动员1,运动员2,得分1,得分2
Men's Singles , 64, 14:00 - 19/1/2012 , MA Long , JEAN Lauric,4, 0
Men's Singles , 64, 14:00 - 19/1/2012 , HUANG Sheng-Sheng , KREANGA Kalinikos,2, 4
Men's Singles , 64, 14:00 - 19/1/2012 , TAN Ruiwu , SUCH Bartosz,3, 4
Men's Singles , 64, 14:00 - 19/1/2012 , ZUBCIC Tomislav , LI Hu ^,4, 2
Men's Singles , 64, 14:00 - 19/1/2012 , KIM Minseok , GAUZY Simon,1, 4
Men's Singles , 64, 14:00 - 19/1/2012 , HABESOHN Dominik , MONTEIRO Joao,2, 4
Men's Singles , 64, 14:00 - 19/1/2012 , ZWICKL Daniel , MATSUMOTO Cazuo,4, 1
Men's Singles , 64, 14:00 - 19/1/2012 , CANTERO Jesus , CHEN Qi,1, 4
Men's Singles , 64, 14:45 - 19/1/2012 , MA Lin , PATTANTYUS Adam,4, 0
Men's Singles , 64, 14:45 - 19/1/2012 , DRINKHALL Paul , ACHANTA Sharath Kamal,3, 4
Men's Singles , 64, 14:45 - 19/1/2012 , ZHAN Jian ^ , IONESCU Ovidiu,4, 1
Men's Singles , 64, 14:45 - 19/1/2012 , WANG Eugene ^ , LEE Jungwoo,1, 4
Men's Singles , 64, 14:45 - 19/1/2012 , SEO Hyundeok , LINDNER Adam,2, 4
Men's Singles , 64, 14:45 - 19/1/2012 , BAGGALEY Andrew , LEBESSON Emmanuel,4, 1
Men's Singles , 64, 14:45 - 19/1/2012 , SAIVE Jean-Michel , FEGERL Stefan,4, 1
Men's Singles , 64, 15:30 - 19/1/2012 , ELOI Damien , FLORITZ Philipp,4, 1
Men's Singles , 64, 15:30 - 19/1/2012 , HABESOHN Daniel , GIONIS Panagiotis,1, 4
Men's Singles , 64, 15:30 - 19/1/2012 , LEUNG Chu Yan , JEONG Sangeun,4, 2
Men's Singles , 64, 15:30 - 19/1/2012 , CHEN Weixing , LASAN Sas,4, 1
Men's Singles , 64, 15:30 - 19/1/2012 , FLORAS Robert , SUSS Christian,2, 4
Men's Singles , 64, 15:30 - 19/1/2012 , PROKOPCOV Dmitrij , KOU Lei,2, 4
Men's Singles , 64, 15:30 - 19/1/2012 , LORENTZ Romain , GAO Ning,4, 1
Men's Singles , 64, 16:15 - 19/1/2012 , JOO Saehyuk , GORAK Daniel,4, 1
Men's Singles , 64, 16:15 - 19/1/2012 , LEGOUT Christophe , JIANG Tianyi,4, 1
Men's Singles , 64, 16:15 - 19/1/2012 , KOSIBA Daniel , PETIOT Jeremy,4, 3
Men's Singles , 64, 16:15 - 19/1/2012 , BOBOCICA Mihai , LEE Sangsu,4, 0
Men's Singles , 64, 16:15 - 19/1/2012 , STEGER Bastian , SVENSSON Robert,4, 0
Men's Singles , 64, 16:15 - 19/1/2012 , LI Ahmet ^ , YANG Zi,2, 4
Men's Singles , 64, 16:15 - 19/1/2012 , KEINATH Thomas , WANG Zengyi,2, 4
Men's Singles , 32, 19:30 - 19/1/2012 , MA Long , KREANGA Kalinikos,4, 0
Men's Singles , 32, 19:30 - 19/1/2012 , SUCH Bartosz , ZUBCIC Tomislav,2, 4
Men's Singles , 32, 19:30 - 19/1/2012 , GAUZY Simon , MONTEIRO Joao,4, 3
Men's Singles , 32, 19:30 - 19/1/2012 , ZWICKL Daniel , CHEN Qi,1, 4
Men's Singles , 32, 19:30 - 19/1/2012 , MA Lin , ACHANTA Sharath Kamal,4, 1
Men's Singles , 32, 19:30 - 19/1/2012 , ZHAN Jian ^ , LEE Jungwoo,4, 3
Men's Singles , 32, 19:30 - 19/1/2012 , LINDNER Adam , BAGGALEY Andrew,3, 4
Men's Singles , 32, 20:15 - 19/1/2012 , ELOI Damien , GIONIS Panagiotis,3, 4
Men's Singles , 32, 20:15 - 19/1/2012 , LEUNG Chu Yan , CRISAN Adrian,2, 4
Men's Singles , 32, 20:15 - 19/1/2012 , CHEN Weixing , SUSS Christian,4, 1
Men's Singles , 32, 20:15 - 19/1/2012 , KOU Lei , LORENTZ Romain,4, 1
Men's Singles , 32, 20:15 - 19/1/2012 , JOO Saehyuk , LEGOUT Christophe,4, 1
Men's Singles , 32, 20:15 - 19/1/2012 , STEGER Bastian , YANG Zi,4, 1
Men's Singles , 16, 14:30 - 20/1/2012 , MA Long , ZUBCIC Tomislav,4, 1
Men's Singles , 16, 14:30 - 20/1/2012 , GAUZY Simon , CHEN Qi,1, 4
Men's Singles , 16, 14:30 - 20/1/2012 , MA Lin , ZHAN Jian ^,4, 1
Men's Singles , 16, 15:15 - 20/1/2012 , CHEN Weixing , KOU Lei,4, 0
Men's Singles , 16, 15:15 - 20/1/2012 , JOO Saehyuk , BOBOCICA Mihai,4, 0
Men's Singles , 16, 15:15 - 20/1/2012 , STEGER Bastian , ZHANG Jike,1, 4
Men's Singles ,Quarter Final, 19:30 - 20/1/2012 , MA Long , CHEN Qi,4, 3
Men's Singles ,Quarter Final, 20:15 - 20/1/2012 , CRISAN Adrian , CHEN Weixing,4, 2
Men's Singles ,Quarter Final, 20:15 - 20/1/2012 , JOO Saehyuk , ZHANG Jike,4, 0
Men's Singles ,Semi Final, 12:00 - 21/1/2012 , MA Long , XU Xin,4, 3
Men's Singles ,Semi Final, 12:45 - 21/1/2012 , CRISAN Adrian , JOO Saehyuk,2, 4
Men's Singles ,Final, 16:45 - 21/1/2012 , MA Long , JOO Saehyuk,4, 3
