项目,轮次,时间,运动员1,运动员2,运动员3,运动员4,得分1,得分2
Women's Doubles , 16, 21:00 - 27/1/2012 , DING Ning, GUO Yan (1982) , DOLGIKH Maria, MIKHAILOVA Polina ,3, 0
Women's Doubles , 16, 21:00 - 27/1/2012 , DUBKOVA Elena, PAVLOVICH Viktoria , MONTEIRO DODEAN Daniela, SAMARA Elizabeta ,1, 3
Women's Doubles , 16, 21:00 - 27/1/2012 , POTA Georgina, TOTH Krisztina , TIKHOMIROVA Anna, VORONOVA Anastasia ,3, 2
Women's Doubles , 16, 21:00 - 27/1/2012 , PARK Miyoung, SEO Hyowon , EKHOLM Matilda, FEHER Gabriela ,3, 2
Women's Doubles , 16, 21:00 - 27/1/2012 , FAN Ying, WU Yang , RAMIREZ Sara, SHEN Yanfei ,3, 0
Women's Doubles , 16, 21:00 - 27/1/2012 , LI Jiao, LI Jie , POLCANOVA Sofia ^, SOLJA Amelie ^ ,3, 0
Women's Doubles , 16, 21:00 - 27/1/2012 , SILBEREISEN Kristin, WU Jiaduo , CHENG I-Ching, HUANG Yi-Hua ,3, 1
Women's Doubles ,Quarter Final, 11:00 - 28/1/2012 , DING Ning, GUO Yan (1982) , MONTEIRO DODEAN Daniela, SAMARA Elizabeta ,4, 0
Women's Doubles ,Quarter Final, 11:00 - 28/1/2012 , POTA Georgina, TOTH Krisztina , FUKUHARA Ai, HIRANO Sayaka ,4, 2
Women's Doubles ,Quarter Final, 11:00 - 28/1/2012 , LI Jiao, LI Jie , SILBEREISEN Kristin, WU Jiaduo ,2, 4
Women's Doubles ,Semi Final, 15:30 - 28/1/2012 , DING Ning, GUO Yan (1982) , POTA Georgina, TOTH Krisztina ,4, 3
Women's Doubles ,Semi Final, 15:30 - 28/1/2012 , FAN Ying, WU Yang , SILBEREISEN Kristin, WU Jiaduo ,4, 0
Women's Doubles ,Final, 14:30 - 29/1/2012 , DING Ning, GUO Yan (1982) , FAN Ying, WU Yang ,4, 0
