项目,轮次,时间,运动员1,运动员2,得分1,得分2
Women's Singles , 16, 18:00 - 24/11/2011 , GUO Yan (1982) , PARK Miyoung,4, 2
Women's Singles , 16, 18:00 - 24/11/2011 , GUO Yue , FUKUHARA Ai,4, 3
Women's Singles , 16, 20:00 - 24/11/2011 , FENG Tianwei , YANG Haeun,4, 0
Women's Singles , 16, 20:00 - 24/11/2011 , ISHIKAWA Kasumi , WU Jiaduo,4, 1
Women's Singles ,Quarter Final, 15:00 - 25/11/2011 , GUO Yan (1982) , WANG Yuegu,3, 4
Women's Singles ,Quarter Final, 16:00 - 25/11/2011 , GUO Yue , LIU Shiwen,2, 4
Women's Singles ,Quarter Final, 15:00 - 25/11/2011 , FENG Tianwei , LI Xiaoxia,1, 4
Women's Singles ,Semi Final, 16:00 - 26/11/2011 , WANG Yuegu , LIU Shiwen,2, 4
Women's Singles ,Semi Final, 17:00 - 26/11/2011 , LI Xiaoxia , DING Ning,1, 4
Women's Singles ,Final, 19:00 - 26/11/2011 , LIU Shiwen , DING Ning,4, 0
