项目,轮次,时间,运动员1,运动员2,运动员3,运动员4,得分1,得分2
Men's Doubles , 16, 10:30 - 26/6/2015 , MATSUDAIRA Kenta, NIWA Koki , KALLBERG Anton, GERELL Par ,3, 1
Men's Doubles , 16, 10:30 - 26/6/2015 , AKERSTROM Fabian, KARLSSON Mattias , MA Long, XU Xin ,0, 3
Men's Doubles , 16, 10:30 - 26/6/2015 , JUNG Youngsik, KIM Minseok , HO Kwan Kit, LIVENTSOV Alexey ,3, 2
Men's Doubles , 16, 10:30 - 26/6/2015 , APOLONIA Tiago, TAN Ruiwu , KUZMIN Fedor, VLASOV Grigory ,3, 1
Men's Doubles , 16, 10:30 - 26/6/2015 , TANG Peng, WONG Chun Ting , FAN Zhendong, SHANG Kun ,2, 3
Men's Doubles , 16, 10:30 - 26/6/2015 , OIKAWA Mizuki, SAMBE Kohei , CHO Eonrae, KIM Donghyun ,2, 3
Men's Doubles , 16, 10:30 - 26/6/2015 , MORIZONO Masataka, OSHIMA Yuya , FANG Bo, YAN An ,3, 1
Men's Doubles , 16, 10:30 - 26/6/2015 , JANG Woojin, PARK Jeongwoo , CHIANG Hung-Chieh, HUANG Sheng-Sheng ,1, 3
Men's Doubles ,Quarter Final, 10:30 - 27/6/2015 , MATSUDAIRA Kenta, NIWA Koki , MA Long, XU Xin ,1, 3
Men's Doubles ,Quarter Final, 10:30 - 27/6/2015 , JUNG Youngsik, KIM Minseok , APOLONIA Tiago, TAN Ruiwu ,, 
Men's Doubles ,Quarter Final, 10:30 - 27/6/2015 , FAN Zhendong, SHANG Kun , CHO Eonrae, KIM Donghyun ,3, 0
Men's Doubles ,Quarter Final, 10:30 - 27/6/2015 , MORIZONO Masataka, OSHIMA Yuya , CHIANG Hung-Chieh, HUANG Sheng-Sheng ,3, 0
Men's Doubles ,Semi Final, 14:00 - 27/6/2015 , MA Long, XU Xin , APOLONIA Tiago, TAN Ruiwu ,3, 0
Men's Doubles ,Semi Final, 14:00 - 27/6/2015 , FAN Zhendong, SHANG Kun , MORIZONO Masataka, OSHIMA Yuya ,3, 1
Men's Doubles ,Final, 15:30 - 28/6/2015 , MA Long, XU Xin , FAN Zhendong, SHANG Kun ,3, 2
Women's Doubles , 16, 10:00 - 26/6/2015 , FENG Tianwei, YU Mengyu , SEO Hyowon, YU Sora ,3, 1
Women's Doubles , 16, 10:00 - 26/6/2015 , KITAOKA Eriko, SHOJI Yuki , DOO Hoi Kem, JIANG Huajun ,1, 3
Women's Doubles , 16, 10:00 - 26/6/2015 , CHENG I-Ching, HUANG Yi-Hua , LIU Fei, WU Yang ,1, 3
Women's Doubles , 16, 10:00 - 26/6/2015 , LAM Yee Lok, ZHU Chengzhu ^ , JEON Jihee ^, YANG Haeun ,1, 3
Women's Doubles , 16, 10:00 - 26/6/2015 , LEE Ho Ching, TIE Yana , LEE Seul, LEE Zion ,3, 2
Women's Doubles , 16, 10:00 - 26/6/2015 , LIN Ye ^, ZHOU Yihan ^ , DOLGIKH Maria, MIKHAILOVA Polina ,3, 1
Women's Doubles , 16, 10:00 - 26/6/2015 , HAMAMOTO Yui, KATO Miyu , CHEN Meng, ZHU Yuling ,0, 3
Women's Doubles , 16, 10:00 - 26/6/2015 , BOLLMEIER Nadine, TIKHOMIROVA Anna , DING Ning, LIU Shiwen ,0, 3
Women's Doubles ,Quarter Final, 10:00 - 27/6/2015 , FENG Tianwei, YU Mengyu , DOO Hoi Kem, JIANG Huajun ,1, 3
Women's Doubles ,Quarter Final, 10:00 - 27/6/2015 , LIU Fei, WU Yang , JEON Jihee ^, YANG Haeun ,3, 2
Women's Doubles ,Quarter Final, 10:00 - 27/6/2015 , LEE Ho Ching, TIE Yana , LIN Ye ^, ZHOU Yihan ^ ,2, 3
Women's Doubles ,Quarter Final, 10:00 - 27/6/2015 , CHEN Meng, ZHU Yuling , DING Ning, LIU Shiwen ,1, 3
Women's Doubles ,Semi Final, 13:30 - 27/6/2015 , DOO Hoi Kem, JIANG Huajun , LIU Fei, WU Yang ,1, 3
Women's Doubles ,Semi Final, 13:30 - 27/6/2015 , LIN Ye ^, ZHOU Yihan ^ , DING Ning, LIU Shiwen ,3, 0
Women's Doubles ,Final, 15:00 - 28/6/2015 , LIU Fei, WU Yang , LIN Ye ^, ZHOU Yihan ^ ,3, 1
