项目,轮次,时间,运动员1,运动员2,运动员3,运动员4,得分1,得分2
Men's Doubles ,Quarter Final, 12:30 - 25/11/2011 , MA Lin, ZHANG Jike , BAGGALEY Andrew, PITCHFORD Liam ,4, 1
Men's Doubles ,Quarter Final, 13:15 - 25/11/2011 , YANG Zi, ZHAN Jian ^ , JIANG Tianyi, TANG Peng ,4, 3
Men's Doubles ,Quarter Final, 13:15 - 25/11/2011 , APOLONIA Tiago, MONTEIRO Joao , MA Long, WANG Hao ,2, 4
Men's Doubles ,Semi Final, 12:00 - 26/11/2011 , MA Lin, ZHANG Jike , GARDOS Robert, HABESOHN Daniel ,4, 0
Men's Doubles ,Semi Final, 12:00 - 26/11/2011 , YANG Zi, ZHAN Jian ^ , MA Long, WANG Hao ,2, 4
Men's Doubles ,Final, 18:00 - 26/11/2011 , MA Lin, ZHANG Jike , MA Long, WANG Hao ,4, 3
Women's Doubles ,Quarter Final, 11:00 - 26/11/2011 , GUO Yue, LI Xiaoxia , JIANG Huajun, TIE Yana ,4, 1
Women's Doubles ,Quarter Final, 11:00 - 26/11/2011 , DRINKHALL Joanna, SIBLEY Kelly , LI Jiawei, WANG Yuegu ,1, 4
Women's Doubles ,Quarter Final, 13:00 - 26/11/2011 , FUKUHARA Ai, ISHIKAWA Kasumi , CHENG I-Ching, HUANG Yi-Hua ,4, 0
Women's Doubles ,Quarter Final, 13:00 - 26/11/2011 , SEOK Hajung, YANG Haeun , FUJII Hiroko, WAKAMIYA Misako ,4, 2
Women's Doubles ,Semi Final, 14:00 - 27/11/2011 , GUO Yue, LI Xiaoxia , LI Jiawei, WANG Yuegu ,4, 1
Women's Doubles ,Semi Final, 16:00 - 27/11/2011 , FUKUHARA Ai, ISHIKAWA Kasumi , SEOK Hajung, YANG Haeun ,4, 1
Women's Doubles ,Final, 18:00 - 27/11/2011 , GUO Yue, LI Xiaoxia , FUKUHARA Ai, ISHIKAWA Kasumi ,4, 0
