项目,轮次,时间,团队,运动员1,运动员2,得分1,得分2
mstm2,130463,2/5 19:30,UKRAINE 3:2 HUNGARY,KOU Lei ,JAKAB Janos ,2,3
mstm2,130463,2/5 19:30,,KATKOV Ivan ,KOSIBA Daniel ,3,1
mstm2,130463,2/5 19:30,,DIDUKH Oleksandr ,LAKATOS Tamas ,3,2
mstm2,130463,2/5 19:30,,KOU Lei ,KOSIBA Daniel ,1,3
mstm2,130463,2/5 19:30,,KATKOV Ivan ,JAKAB Janos ,3,1
mstm2,130464,2/5 19:30,BRAZIL 3:0 DENMARK,MATSUMOTO Cazuo ,STERNBERG Kasper ,3,2
mstm2,130464,2/5 19:30,,TSUBOI Gustavo ,GROTH Jonathan ,3,1
mstm2,130464,2/5 19:30,,CALDERANO Hugo ,RASMUSSEN Morten ,3,0
mstm2,130467,2/5 19:30,ROMANIA 2:3 SPAIN,IONESCU Ovidiu ,DURAN Marc ,3,0
mstm2,130467,2/5 19:30,,SZOCS Hunor ,ROBLES Alvaro ,2,3
mstm2,130467,2/5 19:30,,FILIMON Andrei ,DIEZ Endika ,1,3
mstm2,130467,2/5 19:30,,IONESCU Ovidiu ,ROBLES Alvaro ,3,0
mstm2,130467,2/5 19:30,,SZOCS Hunor ,DURAN Marc ,0,3
mstm2,130468,2/5 19:30,SERBIA 3:0 BELARUS,JEVTOVIC Marko ,KHANIN Aliaksandr ,3,2
mstm2,130468,2/5 19:30,,PETO Zsolt ,PLATONOV Pavel ,3,1
mstm2,130468,2/5 19:30,,KARAKASEVIC Aleksandar ,YARASHENKA Vadim ,3,0
mstm2,130470,3/5 19:30,UKRAINE 3:1 HONG KONG,KOU Lei ,JIANG Tianyi ,3,1
mstm2,130470,3/5 19:30,,KATKOV Ivan ,WONG Chun Ting ,0,3
mstm2,130470,3/5 19:30,,DIDUKH Oleksandr ,LEUNG Chu Yan ,3,1
mstm2,130470,3/5 19:30,,KOU Lei ,WONG Chun Ting ,3,2
mstm2,130472,3/5 19:30,SPAIN 0:3 KOREA DPR,DURAN Marc ,KIM Nam Chol ,1,3
mstm2,130472,3/5 19:30,,ROBLES Alvaro ,KIM Hyok Bong ,0,3
mstm2,130472,3/5 19:30,,DIEZ Endika ,CHOE Il ,1,3
mstm2,130473,3/5 19:30,RUSSIA 3:1 SERBIA,SHIBAEV Alexander ,JEVTOVIC Marko ,3,0
mstm2,130473,3/5 19:30,,LIVENTSOV Alexey ,KARAKASEVIC Aleksandar ,1,3
mstm2,130473,3/5 19:30,,PAIKOV Mikhail ,PETO Zsolt ,3,0
mstm2,130473,3/5 19:30,,SHIBAEV Alexander ,KARAKASEVIC Aleksandar ,3,1
mstm2,130474,4/5 16:30,UKRAINE 0:3 FRANCE,PRYSHCHEPA Yevhen ,FLORE Tristan ,1,3
mstm2,130474,4/5 16:30,,DIDUKH Oleksandr ,OUAICHE Stephane ,0,3
mstm2,130474,4/5 16:30,,KATKOV Ivan ,GAUZY Simon ,1,3
mstm2,130475,4/5 16:30,KOREA DPR 2:3 RUSSIA,KIM Nam Chol ,SKACHKOV Kirill ,3,2
mstm2,130475,4/5 16:30,,KANG Wi Hun ,VLASOV Grigory ,1,3
mstm2,130475,4/5 16:30,,CHOE Il ,PAIKOV Mikhail ,2,3
mstm2,130475,4/5 16:30,,KIM Nam Chol ,VLASOV Grigory ,3,0
mstm2,130475,4/5 16:30,,KANG Wi Hun ,SKACHKOV Kirill ,0,3
