项目,轮次,时间,运动员1,运动员2,得分1,得分2
Men's Singles , 32, 14:30 - 26/6/2015 , MA Long , TAN Ruiwu,4, 0
Men's Singles , 32, 14:30 - 26/6/2015 , SHANG Kun , GARDOS Robert,4, 2
Men's Singles , 32, 14:30 - 26/6/2015 , MURAMATSU Yuto , LI Ping ^,4, 1
Men's Singles , 32, 14:30 - 26/6/2015 , WANG Eugene ^ , NIWA Koki,1, 4
Men's Singles , 32, 14:30 - 26/6/2015 , TANG Peng , LEE Sangsu,4, 1
Men's Singles , 32, 14:30 - 26/6/2015 , YOSHIMURA Maharu , JUNG Youngsik,4, 2
Men's Singles , 32, 15:30 - 26/6/2015 , JOO Saehyuk , MATSUDAIRA Kenji,4, 3
Men's Singles , 32, 15:30 - 26/6/2015 , LIVENTSOV Alexey , MIZUTANI Jun,0, 4
Men's Singles , 32, 15:30 - 26/6/2015 , FAN Zhendong , VLASOV Grigory,4, 0
Men's Singles , 32, 15:30 - 26/6/2015 , JIANG Tianyi , STEGER Bastian,4, 2
Men's Singles , 32, 17:30 - 26/6/2015 , YAN An , CHEN Feng ^,4, 0
Men's Singles , 32, 17:30 - 26/6/2015 , LI Ahmet ^ , FANG Bo,1, 4
Men's Singles , 32, 17:30 - 26/6/2015 , CHUANG Chih-Yuan , MORIZONO Masataka,2, 4
Men's Singles , 32, 17:30 - 26/6/2015 , RANEFUR Elias , WONG Chun Ting,0, 4
Men's Singles , 32, 17:30 - 26/6/2015 , APOLONIA Tiago , LORENTZ Romain,4, 1
Men's Singles , 32, 17:30 - 26/6/2015 , HO Kwan Kit , XU Xin,0, 4
Men's Singles , 16, 19:30 - 26/6/2015 , MA Long , SHANG Kun,1, 4
Men's Singles , 16, 19:30 - 26/6/2015 , MURAMATSU Yuto , NIWA Koki,4, 3
Men's Singles , 16, 19:30 - 26/6/2015 , TANG Peng , YOSHIMURA Maharu,3, 4
Men's Singles , 16, 19:30 - 26/6/2015 , JOO Saehyuk , MIZUTANI Jun,4, 2
Men's Singles , 16, 12:00 - 27/6/2015 , FAN Zhendong , JIANG Tianyi,4, 1
Men's Singles , 16, 12:00 - 27/6/2015 , YAN An , FANG Bo,4, 1
Men's Singles , 16, 12:00 - 27/6/2015 , MORIZONO Masataka , WONG Chun Ting,0, 4
Men's Singles , 16, 12:00 - 27/6/2015 , APOLONIA Tiago , XU Xin,2, 4
Men's Singles ,Quarter Final, 15:30 - 27/6/2015 , SHANG Kun , MURAMATSU Yuto,4, 1
Men's Singles ,Quarter Final, 19:30 - 27/6/2015 , YOSHIMURA Maharu , JOO Saehyuk,4, 2
Men's Singles ,Quarter Final, 15:30 - 27/6/2015 , FAN Zhendong , YAN An,4, 3
Men's Singles ,Quarter Final, 17:30 - 27/6/2015 , WONG Chun Ting , XU Xin,0, 4
Men's Singles ,Semi Final, 12:00 - 28/6/2015 , SHANG Kun , YOSHIMURA Maharu,3, 4
Men's Singles ,Semi Final, 13:00 - 28/6/2015 , FAN Zhendong , XU Xin,3, 4
Men's Singles ,Final, 17:00 - 28/6/2015 , YOSHIMURA Maharu , XU Xin,1, 4
Women's Singles , 32, 16:30 - 26/6/2015 , DING Ning , HIRANO Miu,4, 0
Women's Singles , 32, 16:30 - 26/6/2015 , LIU Fei , ITO Mima,2, 4
Women's Singles , 32, 12:30 - 26/6/2015 , ISHIGAKI Yuka , LI Jiao,2, 4
Women's Singles , 32, 12:30 - 26/6/2015 , LIN Ye ^ , ISHIKAWA Kasumi,3, 4
Women's Singles , 32, 12:30 - 26/6/2015 , CHEN Meng , CHENG I-Ching,4, 0
Women's Singles , 32, 12:30 - 26/6/2015 , SHAN Xiaona ^ , YANG Haeun,4, 2
Women's Singles , 32, 12:30 - 26/6/2015 , HIRANO Sayaka , JEON Jihee ^,0, 4
Women's Singles , 32, 12:30 - 26/6/2015 , WAKAMIYA Misako , FENG Tianwei,4, 3
Women's Singles , 32, 13:30 - 26/6/2015 , ZHU Yuling , TIE Yana,4, 0
Women's Singles , 32, 13:30 - 26/6/2015 , MORIZONO Misaki , DOO Hoi Kem,1, 4
Women's Singles , 32, 13:30 - 26/6/2015 , SEO Hyowon , SATO Hitomi,4, 2
Women's Singles , 32, 13:30 - 26/6/2015 , CHEN Szu-Yu , FUKUHARA Ai,1, 4
Women's Singles , 32, 16:30 - 26/6/2015 , WU Yang , HU Melek,4, 0
Women's Singles , 32, 16:30 - 26/6/2015 , LEE Ho Ching , SAMARA Elizabeta,4, 0
Women's Singles , 32, 16:30 - 26/6/2015 , YU Mengyu , JIANG Huajun,0, 4
Women's Singles , 32, 16:30 - 26/6/2015 , IVANCAN Irene , LIU Shiwen,0, 4
Women's Singles , 16, 11:00 - 27/6/2015 , DING Ning , ITO Mima,4, 1
Women's Singles , 16, 18:30 - 26/6/2015 , LI Jiao , ISHIKAWA Kasumi,0, 4
Women's Singles , 16, 18:30 - 26/6/2015 , CHEN Meng , SHAN Xiaona ^,4, 2
Women's Singles , 16, 18:30 - 26/6/2015 , JEON Jihee ^ , WAKAMIYA Misako,2, 4
Women's Singles , 16, 18:30 - 26/6/2015 , ZHU Yuling , DOO Hoi Kem,4, 0
Women's Singles , 16, 11:00 - 27/6/2015 , SEO Hyowon , FUKUHARA Ai,4, 2
Women's Singles , 16, 11:00 - 27/6/2015 , WU Yang , LEE Ho Ching,4, 0
Women's Singles , 16, 11:00 - 27/6/2015 , JIANG Huajun , LIU Shiwen,1, 4
Women's Singles ,Quarter Final, 14:30 - 27/6/2015 , DING Ning , ISHIKAWA Kasumi,4, 1
Women's Singles ,Quarter Final, 16:30 - 27/6/2015 , CHEN Meng , WAKAMIYA Misako,4, 0
Women's Singles ,Quarter Final, 18:30 - 27/6/2015 , ZHU Yuling , SEO Hyowon,4, 2
