项目,轮次,时间,运动员1,运动员2,得分1,得分2
Men's Singles , 64, 15:00 - 27/1/2012 , MA Long , PAIKOV Mikhail,4, 0
Men's Singles , 64, 15:00 - 27/1/2012 , KEINATH Thomas , WOSIK Torben,4, 2
Men's Singles , 64, 15:00 - 27/1/2012 , TSUBOI Gustavo , TOKIC Bojan,2, 4
Men's Singles , 64, 15:00 - 27/1/2012 , SUSS Christian , HUANG Sheng-Sheng,2, 4
Men's Singles , 64, 15:00 - 27/1/2012 , HIELSCHER Lars , TAN Ruiwu,1, 4
Men's Singles , 64, 15:00 - 27/1/2012 , YANG Zi , ZHMUDENKO Yaroslav,4, 2
Men's Singles , 64, 15:00 - 27/1/2012 , WANG Eugene ^ , GAO Ning,4, 2
Men's Singles , 64, 15:45 - 27/1/2012 , MA Lin , PATTANTYUS Adam,4, 0
Men's Singles , 64, 15:45 - 27/1/2012 , STERNBERG Kasper , SHIBAEV Alexander,3, 4
Men's Singles , 64, 15:45 - 27/1/2012 , GERELL Par , VRABLIK Jiri,4, 0
Men's Singles , 64, 15:45 - 27/1/2012 , GAVLAS Antonin , SEO Hyundeok,1, 4
Men's Singles , 64, 15:45 - 27/1/2012 , LEE Jungwoo , GORAK Daniel,4, 3
Men's Singles , 64, 15:45 - 27/1/2012 , HABESOHN Daniel , CHEN Chien-An,2, 4
Men's Singles , 64, 15:45 - 27/1/2012 , JIANG Tianyi , GROTH Jonathan,4, 0
Men's Singles , 64, 16:30 - 27/1/2012 , XU Xin , DRINKHALL Paul,4, 1
Men's Singles , 64, 16:30 - 27/1/2012 , LI Ahmet ^ , LEGOUT Christophe,4, 2
Men's Singles , 64, 16:30 - 27/1/2012 , LASAN Sas , FILUS Ruwen,1, 4
Men's Singles , 64, 16:30 - 27/1/2012 , FRANZISKA Patrick , APOLONIA Tiago,4, 3
Men's Singles , 64, 16:30 - 27/1/2012 , BAUM Patrick , WANG Zengyi,4, 2
Men's Singles , 64, 16:30 - 27/1/2012 , VLASOV Grigory , LEBESSON Emmanuel,3, 4
Men's Singles , 64, 16:30 - 27/1/2012 , MACHADO Carlos , FENG Xiaoquan,4, 1
Men's Singles , 64, 17:15 - 27/1/2012 , STEGER Bastian , TOSIC Roko,3, 4
Men's Singles , 64, 17:15 - 27/1/2012 , SUCH Bartosz , RUBTSOV Igor,3, 4
Men's Singles , 64, 17:15 - 27/1/2012 , SVENSSON Robert , STORF Martin,4, 1
Men's Singles , 64, 17:15 - 27/1/2012 , CHEN Weixing , KUZMIN Fedor,4, 0
Men's Singles , 64, 17:15 - 27/1/2012 , MATSUMOTO Cazuo , ZHANG Jike,1, 4
Men's Singles , 32, 19:30 - 27/1/2012 , MA Long , HE Zhiwen,4, 1
Men's Singles , 32, 19:30 - 27/1/2012 , KEINATH Thomas , TOKIC Bojan,2, 4
Men's Singles , 32, 19:30 - 27/1/2012 , HUANG Sheng-Sheng , TAN Ruiwu,1, 4
Men's Singles , 32, 19:30 - 27/1/2012 , YANG Zi , WANG Eugene ^,3, 4
Men's Singles , 32, 19:30 - 27/1/2012 , MA Lin , SHIBAEV Alexander,4, 1
Men's Singles , 32, 19:30 - 27/1/2012 , GERELL Par , SEO Hyundeok,3, 4
Men's Singles , 32, 19:30 - 27/1/2012 , LEE Jungwoo , CHEN Chien-An,4, 0
Men's Singles , 32, 19:30 - 27/1/2012 , JIANG Tianyi , WANG Hao,2, 4
Men's Singles , 32, 20:15 - 27/1/2012 , XU Xin , LI Ahmet ^,4, 0
Men's Singles , 32, 20:15 - 27/1/2012 , FILUS Ruwen , FRANZISKA Patrick,3, 4
Men's Singles , 32, 20:15 - 27/1/2012 , BAUM Patrick , LEBESSON Emmanuel,4, 2
Men's Singles , 32, 20:15 - 27/1/2012 , MACHADO Carlos , JOO Saehyuk,1, 4
Men's Singles , 32, 20:15 - 27/1/2012 , TOSIC Roko , RUBTSOV Igor,4, 2
Men's Singles , 32, 20:15 - 27/1/2012 , GAUZY Simon , ZHANG Jike,2, 4
Men's Singles , 16, 14:00 - 28/1/2012 , MA Long , TOKIC Bojan,4, 1
Men's Singles , 16, 14:00 - 28/1/2012 , MA Lin , SEO Hyundeok,4, 0
Men's Singles , 16, 14:45 - 28/1/2012 , XU Xin , FRANZISKA Patrick,4, 2
Men's Singles , 16, 14:45 - 28/1/2012 , BAUM Patrick , JOO Saehyuk,2, 4
Men's Singles , 16, 14:45 - 28/1/2012 , TOSIC Roko , BOBOCICA Mihai,2, 4
Men's Singles , 16, 14:45 - 28/1/2012 , YAN An , ZHANG Jike,1, 4
Men's Singles ,Quarter Final, 19:30 - 28/1/2012 , MA Long , WANG Eugene ^,4, 0
Men's Singles ,Quarter Final, 19:30 - 28/1/2012 , MA Lin , WANG Hao,4, 1
Men's Singles ,Quarter Final, 20:15 - 28/1/2012 , XU Xin , JOO Saehyuk,4, 1
Men's Singles ,Semi Final, 12:00 - 29/1/2012 , MA Long , MA Lin,4, 1
Men's Singles ,Final, 16:45 - 29/1/2012 , MA Long , ZHANG Jike,3, 4
Women's Singles , 64, 12:00 - 27/1/2012 , DING Ning , DUBKOVA Elena,4, 0
Women's Singles , 64, 12:00 - 27/1/2012 , KIM Minhee (YOB=1991) , FAJMUT Manca,4, 0
Women's Singles , 64, 12:00 - 27/1/2012 , MONTEIRO DODEAN Daniela , MOLNAR Cornelia,4, 2
Women's Singles , 64, 12:00 - 27/1/2012 , LI Jiao , RAMIREZ Sara,4, 1
Women's Singles , 64, 12:00 - 27/1/2012 , GANINA Svetlana , LOVAS Petra,4, 1
Women's Singles , 64, 12:00 - 27/1/2012 , TOTH Krisztina , EKHOLM Matilda,1, 4
Women's Singles , 64, 12:00 - 27/1/2012 , HWANG Jina , ISHIKAWA Kasumi,2, 4
Women's Singles , 64, 12:45 - 27/1/2012 , HIRANO Sayaka , TIAN Yuan,4, 0
Women's Singles , 64, 12:45 - 27/1/2012 , MADARASZ Dora , HU Melek,2, 4
Women's Singles , 64, 12:45 - 27/1/2012 , MORIZONO Misaki , FEHER Gabriela,4, 1
Women's Singles , 64, 12:45 - 27/1/2012 , PARK Miyoung , POLCANOVA Sofia ^,4, 1
Women's Singles , 64, 12:45 - 27/1/2012 , TIKHOMIROVA Anna , SILBEREISEN Kristin,3, 4
Women's Singles , 64, 12:45 - 27/1/2012 , KANG Misoon , BARTHEL Zhenqi,1, 4
Women's Singles , 64, 13:30 - 27/1/2012 , LIU Shiwen , KASABOVA Asya,4, 0
Women's Singles , 64, 13:30 - 27/1/2012 , SOLJA Amelie ^ , SHEN Yanfei,3, 4
Women's Singles , 64, 13:30 - 27/1/2012 , PESOTSKA Margaryta , NONAKA Yuki,1, 4
Women's Singles , 64, 13:30 - 27/1/2012 , LI Jie , JO Yujin,2, 4
Women's Singles , 64, 13:30 - 27/1/2012 , GRUNDISCH Carole , POTA Georgina,2, 4
Women's Singles , 64, 13:30 - 27/1/2012 , CHENG I-Ching , TAN Wenling,4, 1
Women's Singles , 64, 13:30 - 27/1/2012 , PENKAVOVA Katerina , FUKUHARA Ai,1, 4
Women's Singles , 64, 14:15 - 27/1/2012 , WU Yang , TODOROVIC Andrea,4, 0
Women's Singles , 64, 14:15 - 27/1/2012 , HUANG Yi-Hua , LI Qiangbing,4, 0
Women's Singles , 64, 14:15 - 27/1/2012 , MIKHAILOVA Polina , JEON Jihee ^,2, 4
Women's Singles , 64, 14:15 - 27/1/2012 , PAVLOVICH Viktoria , KERTAI Rita,4, 0
Women's Singles , 64, 14:15 - 27/1/2012 , VACENOVSKA Iveta , XIAN Yifang,4, 1
Women's Singles , 32, 18:00 - 27/1/2012 , DING Ning , KIM Minhee (YOB=1991),4, 0
Women's Singles , 32, 18:00 - 27/1/2012 , MONTEIRO DODEAN Daniela , LEE Eunhee,3, 4
Women's Singles , 32, 18:00 - 27/1/2012 , LI Jiao , GANINA Svetlana,4, 0
Women's Singles , 32, 18:00 - 27/1/2012 , EKHOLM Matilda , ISHIKAWA Kasumi,1, 4
Women's Singles , 32, 18:00 - 27/1/2012 , HIRANO Sayaka , HU Melek,4, 0
Women's Singles , 32, 18:00 - 27/1/2012 , PARK Miyoung , SILBEREISEN Kristin,4, 0
Women's Singles , 32, 18:45 - 27/1/2012 , LIU Shiwen , SHEN Yanfei,4, 0
Women's Singles , 32, 18:45 - 27/1/2012 , NONAKA Yuki , FAN Ying,1, 4
Women's Singles , 32, 18:45 - 27/1/2012 , JO Yujin , POTA Georgina,2, 4
Women's Singles , 32, 18:45 - 27/1/2012 , CHENG I-Ching , FUKUHARA Ai,1, 4
Women's Singles , 32, 18:45 - 27/1/2012 , WU Yang , SEO Hyowon,4, 1
Women's Singles , 32, 18:45 - 27/1/2012 , HUANG Yi-Hua , JEON Jihee ^,2, 4
Women's Singles , 32, 18:45 - 27/1/2012 , PAVLOVICH Viktoria , SAMARA Elizabeta,2, 4
Women's Singles , 32, 18:45 - 27/1/2012 , VACENOVSKA Iveta , LIU Jia,4, 3
Women's Singles , 16, 12:30 - 28/1/2012 , DING Ning , LEE Eunhee,4, 1
Women's Singles , 16, 12:30 - 28/1/2012 , LI Jiao , ISHIKAWA Kasumi,1, 4
Women's Singles , 16, 12:30 - 28/1/2012 , HIRANO Sayaka , WU Jiaduo,4, 3
Women's Singles , 16, 12:30 - 28/1/2012 , PARK Miyoung , GUO Yan (1982),1, 4
Women's Singles , 16, 13:15 - 28/1/2012 , LIU Shiwen , FAN Ying,4, 0
Women's Singles , 16, 13:15 - 28/1/2012 , POTA Georgina , FUKUHARA Ai,1, 4
Women's Singles , 16, 13:15 - 28/1/2012 , WU Yang , JEON Jihee ^,4, 1
Women's Singles , 16, 13:15 - 28/1/2012 , SAMARA Elizabeta , VACENOVSKA Iveta,4, 2
Women's Singles ,Quarter Final, 18:00 - 28/1/2012 , DING Ning , ISHIKAWA Kasumi,4, 1
Women's Singles ,Quarter Final, 18:45 - 28/1/2012 , LIU Shiwen , FUKUHARA Ai,4, 1
Women's Singles ,Quarter Final, 18:45 - 28/1/2012 , WU Yang , SAMARA Elizabeta,4, 1
Women's Singles ,Semi Final, 10:30 - 29/1/2012 , DING Ning , GUO Yan (1982),4, 1
Women's Singles ,Semi Final, 11:15 - 29/1/2012 , LIU Shiwen , WU Yang,4, 0
Women's Singles ,Final, 16:00 - 29/1/2012 , DING Ning , LIU Shiwen,4, 2
