项目,轮次,时间,团队,运动员1,运动员2,得分1,得分2
wstm2,130879,2/5 16:30,CONGO BRAZZAVILLE 3:1 ESTONIA,HAN Xing ,PETROVA Valeria ,3,0
wstm2,130879,2/5 16:30,,MAFUTA-IVOSO Jolie ,LATT Katlin ,0,3
wstm2,130879,2/5 16:30,,NWACHUKWU Onyinyechi ,KETSKO Olesja ,3,0
wstm2,130879,2/5 16:30,,HAN Xing ,LATT Katlin ,3,1
wstm2,130880,2/5 16:30,MEXICO 3:1 GUATEMALA,SILVA Yadira ,ENRIQUEZ Mabelyn ,3,1
wstm2,130880,2/5 16:30,,MADRID Mercedes ,ESTRADA Andrea ,2,3
wstm2,130880,2/5 16:30,,SERRANO Monica ,LOPEZ Analdy ,3,1
wstm2,130880,2/5 16:30,,SILVA Yadira ,ESTRADA Andrea ,3,0
wstm2,130883,2/5 16:30,INDONESIA 3:1 MONGOLIA,FITRIA Mira ,MERGEN Delgermaa ,3,0
wstm2,130883,2/5 16:30,,SINTYA Rina ,BATSAIKHAN Batkhishig ,1,3
wstm2,130883,2/5 16:30,,PALIT Stella ,BATBAYAR Doljinzuu ,3,0
wstm2,130883,2/5 16:30,,FITRIA Mira ,BATSAIKHAN Batkhishig ,3,1
wstm2,130884,2/5 16:30,SRI LANKA 1:3 ARGENTINA,MADURANGI Ishara ,HARIMA Maia ,3,0
wstm2,130884,2/5 16:30,,WARUSAWITHANA Erandi ,CODINA Ana ,0,3
wstm2,130884,2/5 16:30,,FERNANDO Chamathsara ,IWASA Agustina ,0,3
wstm2,130884,2/5 16:30,,MADURANGI Ishara ,CODINA Ana ,0,3
wstm2,130886,3/5 10:00,CONGO BRAZZAVILLE 2:3 KAZAKHSTAN,HAN Xing ,SLADKOVA Nataliya ,3,0
wstm2,130886,3/5 10:00,,MAFUTA-IVOSO Jolie ,PILIPENKO Yelena ,0,3
wstm2,130886,3/5 10:00,,NWACHUKWU Onyinyechi ,GATS Yuliya ,0,3
wstm2,130886,3/5 10:00,,HAN Xing ,PILIPENKO Yelena ,3,1
wstm2,130886,3/5 10:00,,MAFUTA-IVOSO Jolie ,SLADKOVA Nataliya ,0,3
wstm2,130888,3/5 10:00,NEW ZEALAND 3:1 INDONESIA,LI Chunli ,SINTYA Rina ,3,1
wstm2,130888,3/5 10:00,,LI Karen ,FITRIA Mira ,3,1
wstm2,130888,3/5 10:00,,YANG Annie ,PALIT Stella ,0,3
wstm2,130888,3/5 10:00,,LI Chunli ,FITRIA Mira ,3,0
wstm2,130889,3/5 10:00,ARGENTINA 0:3 MOLDOVA,CODINA Ana ,SANDUL Alina ,1,3
wstm2,130889,3/5 10:00,,IWASA Agustina ,BLIZNET Olga ,0,3
wstm2,130889,3/5 10:00,,HARIMA Maia ,SMIGANOVSCAIA Ecaterina ,1,3
wstm2,130890,3/5 19:30,MEXICO 3:1 KAZAKHSTAN,SILVA Yadira ,PILIPENKO Yelena ,3,2
wstm2,130890,3/5 19:30,,MADRID Mercedes ,SLADKOVA Nataliya ,0,3
wstm2,130890,3/5 19:30,,SERRANO Monica ,GATS Yuliya ,3,2
wstm2,130890,3/5 19:30,,SILVA Yadira ,SLADKOVA Nataliya ,3,1
wstm2,130891,3/5 19:30,NEW ZEALAND 3:1 MOLDOVA,LI Chunli ,SANDUL Alina ,3,0
wstm2,130891,3/5 19:30,,LI Karen ,BLIZNET Olga ,1,3
wstm2,130891,3/5 19:30,,YANG Annie ,SMIGANOVSCAIA Ecaterina ,3,1
wstm2,130891,3/5 19:30,,LI Chunli ,BLIZNET Olga ,3,0
wstm2,130892,4/5 13:00,NEW ZEALAND 3:1 MEXICO,LI Chunli ,MADRID Mercedes ,3,0
wstm2,130892,4/5 13:00,,LI Karen ,SILVA Yadira ,0,3
wstm2,130892,4/5 13:00,,YANG Annie ,SERRANO Monica ,3,0
wstm2,130892,4/5 13:00,,LI Chunli ,SILVA Yadira ,3,2
